filename,word_count,ten_grams
WR-P-P-B-0000000301.dcoi.xml,19616,19607
WR-P-P-B-0000000302.dcoi.xml,20965,20956
WR-P-P-B-0000000303.dcoi.xml,54941,54932
WR-P-P-B-0000000304.dcoi.xml,19173,19164
WR-P-P-B-0000000305.dcoi.xml,7049,7040
WR-P-P-B-0000000306.dcoi.xml,4325,4316
WR-P-P-B-0000000307.dcoi.xml,13308,13299
WR-P-P-B-0000000308.dcoi.xml,33396,33387
WR-P-P-B-0000000309.dcoi.xml,43600,43591
WR-P-P-B-0000000310.dcoi.xml,45520,45511
WR-P-P-B-0000000311.dcoi.xml,3975,3966
WR-P-P-B-0000000312.dcoi.xml,5441,5432
WR-P-P-B-0000000313.dcoi.xml,41249,41240
WR-P-P-B-0000000314.dcoi.xml,18452,18443
WR-P-P-B-0000000315.dcoi.xml,6750,6741
WR-P-P-B-0000000316.dcoi.xml,2895,2886
WR-P-P-B-0000000317.dcoi.xml,5412,5403
WR-P-P-B-0000000318.dcoi.xml,977,968
WR-P-P-B-0000000319.dcoi.xml,2419,2410
WR-P-P-B-0000000320.dcoi.xml,4127,4118
WR-P-P-B-0000000321.dcoi.xml,1892,1883
WR-P-P-B-0000000322.dcoi.xml,2270,2261
WR-P-P-B-0000000323.dcoi.xml,2221,2212
WR-P-P-B-0000000324.dcoi.xml,1781,1772
WR-P-P-B-0000000325.dcoi.xml,8181,8172
WR-P-P-B-0000000326.dcoi.xml,2733,2724
WR-P-P-B-0000000327.dcoi.xml,28422,28413
WR-P-P-B-0000000328.dcoi.xml,18256,18247
WR-P-P-B-0000000329.dcoi.xml,31520,31511
WR-P-P-B-0000000330.dcoi.xml,25919,25910
WR-P-P-B-0000000331.dcoi.xml,28853,28844
WR-P-P-B-0000000332.dcoi.xml,12009,12000
WR-P-P-B-0000000333.dcoi.xml,11491,11482
WR-P-P-B-0000000334.dcoi.xml,7629,7620
WR-P-P-B-0000000335.dcoi.xml,4121,4112
WR-P-P-B-0000000336.dcoi.xml,4004,3995
WR-P-P-B-0000000337.dcoi.xml,3100,3091
WR-P-P-B-0000000338.dcoi.xml,3105,3096
WR-P-P-B-0000000339.dcoi.xml,2698,2689
WR-P-P-B-0000000340.dcoi.xml,1677,1668
WR-P-P-B-0000000341.dcoi.xml,4102,4093
WR-P-P-B-0000000342.dcoi.xml,2737,2728
WR-P-P-B-0000000343.dcoi.xml,1595,1586
WR-P-P-B-0000000344.dcoi.xml,815,806
WR-P-P-B-0000000345.dcoi.xml,8847,8838
WR-P-P-B-0000000346.dcoi.xml,3174,3165
WR-P-P-B-0000000347.dcoi.xml,3421,3412
WR-P-P-B-0000000348.dcoi.xml,2187,2178
WR-P-P-B-0000000349.dcoi.xml,3467,3458
WR-P-P-B-0000000350.dcoi.xml,561,552
WR-P-P-B-0000000351.dcoi.xml,665,656
WR-P-P-B-0000000352.dcoi.xml,1184,1175
WR-P-P-B-0000000353.dcoi.xml,14362,14353
WR-P-P-B-0000000354.dcoi.xml,14361,14352
WR-P-P-B-0000000356.dcoi.xml,26193,26184
WR-P-P-B-0000000357.dcoi.xml,95873,95864
WR-P-P-B-0000000358.dcoi.xml,11075,11066
WR-P-P-B-0000000359.dcoi.xml,86517,86508
WR-P-P-B-0000000360.dcoi.xml,9660,9651
WR-P-P-B-0000000361.dcoi.xml,255343,255334
WR-P-P-B-0000000362.dcoi.xml,17242,17233
WR-P-P-B-0000000363.dcoi.xml,278533,278524
WR-P-P-B-0000000364.dcoi.xml,79005,78996
WR-P-P-B-0000000365.dcoi.xml,299399,299390
WR-P-P-B-0000000366.dcoi.xml,5930,5921
WR-P-P-B-0000000367.dcoi.xml,41076,41067
WR-P-P-B-0000000368.dcoi.xml,9306,9297
WR-P-P-B-0000000369.dcoi.xml,8252,8243
WR-P-P-B-0000000370.dcoi.xml,270439,270430
WR-P-P-B-0000000371.dcoi.xml,24062,24053
WR-P-P-B-0000000372.dcoi.xml,25780,25771
WR-P-P-B-0000000373.dcoi.xml,5462,5453
WR-P-P-B-0000000374.dcoi.xml,922,913
WR-P-P-B-0000000375.dcoi.xml,1583,1574
WR-P-P-B-0000000376.dcoi.xml,4190,4181
WR-P-P-B-0000000377.dcoi.xml,1668,1659
WR-P-P-B-0000000378.dcoi.xml,1928,1919
WR-P-P-B-0000000379.dcoi.xml,2154,2145
WR-P-P-B-0000000380.dcoi.xml,1297,1288
